50 1000
48 50 19
38 17 41
3 41 41
40 45 39
22 39 6
34 35 22
29 35 38
35 31 33
12 43 3
10 13 49
10 4 36
28 31 21
3 22 7
50 16 49
36 35 25
49 35 38
45 48 6
49 40 7
32 25 24
20 14 3
34 41 48
7 49 48
40 21 14
30 21 50
17 40 7
15 12 48
22 37 48
33 44 44
46 36 5
43 42 22
28 31 15
17 6 17
3 35 22
13 30 35
10 4 44
10 38 39
42 34 35
15 20 48
5 36 6
18 36 23
44 49 4
24 28 19
29 27 21
6 41 7
20 10 12
20 4 3
8 37 8
43 41 50
25 4 15
8 10 28
9 17 28
2 16 12
36 5 10
32 39 12
33 25 45
42 27 1
11 26 41
1 26 22
22 46 6
32 45 41
34 26 47
1 11 3
34 25 13
30 6 6
6 14 13
44 46 42
30 5 15
24 10 20
25 5 16
6 25 4
28 39 39
37 7 43
44 39 12
17 1 22
50 13 44
48 9 6
49 23 45
39 3 40
26 16 20
24 42 46
6 25 14
44 37 47
17 6 11
32 37 37
38 47 3
50 15 4
35 47 37
18 34 15
35 13 26
40 17 41
9 21 18
23 28 44
33 45 42
44 25 38
21 14 12
25 5 33
14 37 19
4 8 33
26 34 50
43 33 41
35 12 37
48 17 7
5 49 38
2 26 46
42 41 35
34 46 1
46 13 0
22 3 43
34 50 6
43 27 44
19 28 1
48 20 41
12 42 12
43 34 50
37 44 22
45 18 7
34 41 36
50 4 47
1 47 19
28 13 13
33 36 43
12 18 26
14 5 48
32 31 13
48 30 0
21 38 4
16 42 38
40 46 17
21 43 27
31 28 32
18 41 18
25 2 32
28 1 28
21 39 37
22 4 2
31 42 21
4 18 17
17 11 30
26 4 44
25 31 11
40 31 17
38 19 37
46 5 40
49 41 9
42 49 26
17 12 48
50 29 32
19 22 27
10 38 13
3 5 24
38 46 34
10 28 21
47 19 26
49 42 22
36 11 7
42 36 28
37 10 34
27 36 22
12 15 9
1 7 10
46 6 37
40 1 39
45 21 48
4 35 18
3 19 20
26 23 9
20 29 46
30 47 37
40 37 39
2 13 1
9 45 3
33 27 23
6 15 0
33 26 31
33 8 12
2 17 6
39 50 10
12 49 27
37 4 21
12 41 16
41 1 42
37 9 12
48 34 39
12 49 27
37 38 21
13 4 26
38 26 46
5 11 11
3 29 22
14 4 20
18 32 38
37 30 48
2 3 32
8 21 28
14 14 43
43 7 16
44 1 17
14 24 4
3 15 46
39 21 45
50 50 12
22 46 14
18 1 39
16 15 13
48 12 46
5 5 0
19 27 10
49 16 21
47 49 28
22 18 27
12 7 21
43 4 16
41 2 45
29 11 22
18 19 36
40 2 48
25 41 12
46 17 11
16 29 34
27 18 5
41 7 19
23 46 16
23 39 23
18 41 20
21 47 5
3 9 0
28 6 38
2 4 41
48 19 43
7 7 43
39 49 1
16 40 28
24 47 39
34 39 15
22 3 12
5 9 34
21 27 47
20 35 34
12 46 46
38 12 47
39 32 3
3 43 11
50 18 16
9 13 38
34 45 25
46 3 30
33 28 42
2 9 32
19 9 41
19 24 0
13 33 50
29 23 47
49 12 2
27 9 19
33 8 35
23 48 26
29 4 37
50 1000
1 2 33
1 3 22
1 4 5
1 5 24
2 6 27
2 7 9
6 8 5
3 9 29
1 10 40
10 11 29
5 12 29
7 13 17
6 14 5
1 15 3
13 16 19
9 17 6
6 18 23
9 19 34
11 20 31
19 21 16
14 22 31
1 23 10
8 24 15
8 25 7
24 26 19
10 27 34
26 28 23
6 29 10
21 30 42
28 31 37
26 32 23
13 33 38
32 34 32
26 35 12
18 36 48
30 37 23
25 38 42
30 39 36
18 40 1
5 41 43
3 42 47
13 43 31
12 44 23
19 45 29
13 46 38
18 47 45
47 48 27
28 49 3
39 50 2
48 14 20
24 20 0
29 40 31
37 32 36
24 3 23
22 50 40
33 3 1
1 19 26
19 2 40
11 17 45
24 1 19
4 22 35
25 40 6
29 5 43
2 34 29
10 20 21
6 41 41
11 16 11
3 49 28
17 27 10
19 38 45
1 29 6
36 31 25
3 24 28
24 4 18
44 33 44
9 13 49
12 47 7
32 14 43
6 5 11
27 49 36
15 43 47
24 40 26
33 48 0
30 11 9
15 1 47
26 21 27
16 7 41
17 17 17
40 32 2
33 6 16
34 3 23
9 18 21
40 41 4
27 4 15
4 24 32
17 29 38
27 3 0
38 49 28
26 19 14
28 10 15
35 26 43
42 27 29
29 19 40
42 12 16
40 30 50
20 43 2
31 15 9
41 48 49
14 9 20
24 4 42
18 3 42
24 50 1
14 20 21
37 12 12
6 47 39
16 18 48
34 6 26
13 25 23
19 3 8
7 26 45
43 20 49
24 32 5
44 25 9
15 48 41
18 23 29
45 44 20
31 11 8
10 1 37
39 16 50
22 10 35
43 42 14
18 44 40
49 28 10
50 50 9
4 18 42
9 1 33
26 42 7
6 5 40
29 22 25
24 28 50
29 7 24
18 50 5
45 33 26
35 3 49
41 6 43
27 23 8
46 10 11
24 8 5
42 49 34
46 11 44
6 42 9
6 33 14
19 28 30
14 41 33
43 16 9
4 18 17
7 20 27
5 28 50
38 22 10
4 3 30
47 29 1
18 44 6
37 6 49
14 10 10
30 12 14
8 37 28
30 25 15
1 39 24
18 42 47
46 16 13
10 27 2
12 25 26
50 5 43
46 6 31
23 38 1
39 34 39
1 26 39
16 40 28
15 37 47
10 41 44
50 2 35
29 11 12
27 26 7
9 37 46
7 29 50
16 18 12
19 22 40
50 17 14
44 29 0
41 14 22
45 32 50
26 16 39
4 38 32
6 49 48
20 35 14
5 22 14
31 38 7
42 44 42
21 13 12
3 3 5
35 10 30
39 41 36
36 39 12
42 14 4
39 48 30
48 48 37
2 8 0
22 16 0
25 47 7
17 25 39
28 31 34
35 12 23
34 40 24
10 20 49
42 9 42
26 37 22
13 25 32
24 43 36
26 32 27
43 4 47
30 6 4
2 32 3
42 18 7
35 25 46
12 33 6
1 48 17
15 46 44
3 24 37
19 40 49
39 32 31
47 20 31
36 13 2
34 19 40
7 2 4
10 38 13
39 18 14
37 8 16
43 46 9
20 23 33
8 40 47
50 37 35
9 25 17
30 12 24
12 13 7
3 29 49
48 2 42
45 17 20
3 32 40
38 12 14
42 17 1
50 3 33
7 15 4
16 21 46
47 6 2
47 44 41
47 25 47
50 19 8
8 49 34
17 16 4
7 6 17
29 15 2
19 21 44
48 11 41
6 44 31
2 20 47
35 30 22
39 25 44
30 22 33
21 34 11
32 42 31
3 33 1
20 11 31
21 50 25
44 29 22
35 25 0
23 37 33
34 12 10
35 14 50
26 32 24
10 35 6
20 47 50
19 47 18
21 41 29
6 20 31
18 39 37
46 46 48
49 11 28
31 15 26
2 44 37
49 23 19
12 1 23
49 42 44
43 23 32
6 20 49
10 45 36
43 16 19
6 11 38
21 12 24
27 1 8
47 49 41
46 6 30
5 18 1
5 5 35
21 16 19
21 10 48
24 39 17
33 47 35
4 26 15
33 12 15
17 39 0
32 48 36
48 41 22
27 48 36
17 35 49
46 13 48
6 8 42
35 34 45
31 42 37
47 4 46
41 23 7
31 32 33
2 29 32
26 20 12
2 43 5
8 16 35
39 50 33
25 8 9
26 16 9
16 34 17
5 24 2
47 6 44
22 34 17
21 28 40
18 33 17
37 11 6
42 10 42
31 13 15
25 6 27
36 8 31
28 49 43
21 16 48
41 11 40
48 3 32
12 31 46
44 31 35
40 18 40
33 13 6
7 13 30
29 11 39
28 35 40
13 31 42
19 42 26
35 22 3
8 33 35
11 32 47
5 10 43
39 10 33
36 33 3
6 37 48
38 32 31
29 39 32
40 37 33
13 14 46
46 28 43
33 35 12
20 33 17
13 27 15
31 44 14
12 20 29
37 42 29
36 13 5
20 49 7
4 32 21
29 44 12
18 50 37
7 29 27
36 1 0
5 44 44
2 32 32
17 36 14
33 34 42
42 11 17
8 18 39
43 19 32
7 27 48
39 43 47
41 31 6
2 36 46
15 12 6
9 3 38
27 20 14
2 14 1
47 41 43
24 10 46
47 6 49
22 48 24
5 7 50
21 39 38
24 30 7
15 37 20
10 34 8
27 1 10
40 13 34
25 27 49
37 20 29
32 24 28
11 16 49
17 46 3
21 32 28
23 35 20
45 21 37
28 44 41
23 13 8
25 27 1
18 46 6
10 43 11
10 11 5
9 23 47
49 32 38
41 5 33
33 45 36
13 31 6
49 18 17
23 12 29
2 33 3
15 42 29
15 13 19
13 45 20
21 1 30
43 48 7
21 17 49
13 22 27
34 23 40
38 43 39
3 34 0
7 40 11
22 30 41
12 27 17
35 44 39
6 25 0
26 34 29
36 20 11
30 6 18
16 2 2
12 3 19
1 2 45
21 31 35
2 25 43
20 42 32
9 29 19
4 36 17
3 4 19
18 9 32
35 14 50
29 44 39
9 11 7
21 2 10
2 6 30
33 20 35
29 33 12
16 19 12
19 44 24
8 8 7
37 33 43
45 13 0
30 35 16
33 37 28
20 4 35
12 27 32
43 20 6
4 14 26
27 37 8
15 4 6
28 49 42
47 16 35
47 9 49
9 4 35
45 38 17
1 23 14
25 36 38
44 39 1
11 6 3
40 47 7
12 18 24
13 46 35
20 24 28
41 12 8
6 7 21
37 29 47
32 34 49
15 48 7
38 25 36
10 23 35
11 23 7
31 6 45
34 33 39
16 27 8
37 1 22
15 50 46
34 38 14
6 18 8
28 11 15
42 28 0
5 7 2
4 28 5
11 49 42
8 16 3
38 26 49
24 26 45
7 35 9
48 30 33
2 1 25
40 14 1
15 23 25
42 4 8
18 48 41
30 30 38
26 6 22
23 9 4
17 33 15
10 9 17
33 47 48
11 39 12
28 36 25
18 24 13
43 49 45
43 34 48
36 21 23
40 31 49
20 6 24
39 44 21
21 9 45
39 4 26
45 48 34
29 7 0
47 6 25
32 21 10
43 38 25
5 38 3
12 34 50
46 24 17
30 29 32
12 25 25
10 42 46
35 37 40
12 44 39
22 35 28
1 11 16
6 26 13
21 10 6
16 24 25
41 18 24
17 13 40
43 41 41
47 1 6
3 43 16
42 6 44
14 34 17
21 20 50
32 24 20
4 39 47
39 38 17
35 18 30
29 32 20
42 3 24
20 18 20
20 24 11
49 5 29
48 45 24
41 41 37
48 6 22
25 13 2
17 33 25
26 18 14
49 40 47
43 28 3
47 44 36
10 50 7
14 21 37
6 5 18
50 48 12
5 30 23
18 47 44
2 22 22
18 6 27
28 18 3
22 35 33
21 25 19
9 3 24
5 23 3
1 43 7
11 41 13
47 4 22
46 14 4
27 32 34
22 5 13
46 38 15
40 5 3
9 22 44
9 25 31
5 20 42
38 36 3
10 26 34
38 2 5
42 34 44
25 33 4
40 4 30
19 45 41
33 46 5
40 33 25
28 43 37
15 27 20
49 34 16
32 32 37
4 41 30
41 27 46
38 49 28
50 40 41
26 24 46
14 23 23
36 4 34
22 24 23
8 38 50
47 45 28
24 47 7
38 32 22
43 45 29
30 10 44
32 31 48
34 27 6
31 13 3
15 1 13
16 31 21
26 15 9
29 40 47
14 14 33
9 29 3
26 4 48
19 20 26
9 46 12
30 19 2
32 27 43
47 39 19
47 7 43
26 3 33
12 22 4
4 20 2
3 23 17
19 50 39
30 7 41
6 4 34
26 48 14
19 33 30
37 16 19
24 23 2
38 49 26
39 15 3
25 8 39
37 1 23
9 25 10
28 14 43
15 26 23
13 17 19
19 1 43
3 6 41
39 22 47
45 33 29
39 6 11
39 4 39
21 29 6
33 24 12
17 31 39
5 47 47
40 36 45
9 46 5
23 8 10
50 32 1
37 50 4
41 21 27
36 36 1
48 7 16
37 25 48
35 50 45
13 24 32
33 38 47
26 3 25
23 38 41
49 27 7
41 46 1
8 25 26
4 19 33
16 12 35
45 46 28
33 23 39
21 34 43
47 40 2
22 34 16
28 47 38
44 32 10
46 19 43
35 25 13
27 50 38
17 43 36
1 2 0
45 42 28
35 42 22
31 26 34
20 24 46
8 33 40
35 20 34
9 11 15
27 41 25
50 1 39
17 46 38
5 37 38
28 24 16
24 12 26
35 12 47
17 28 37
49 4 12
16 10 11
5 40 18
26 50 35
10 48 44
12 49 11
20 42 12
31 2 25
11 19 12
26 1 9
35 47 12
14 28 3
9 42 3
14 14 16
26 13 45
13 2 42
7 21 44
18 48 24
43 34 47
33 40 21
12 48 22
33 20 42
48 45 8
26 34 3
27 45 25
12 38 23
8 24 46
38 29 33
30 19 5
19 43 36
13 47 8
46 18 35
43 19 42
16 5 32
8 23 29
14 49 17
20 45 35
36 23 2
40 33 17
3 49 12
23 35 31
39 19 45
30 25 9
39 42 9
7 30 22
11 24 20
44 26 24
37 17 50
34 39 1
37 50 31
39 36 24
44 3 23
17 39 42
26 10 7
37 11 40
38 49 26
30 37 5
19 18 2
48 23 12
43 25 34
12 32 44
24 32 24
27 31 5
20 43 27
40 11 36
2 23 4
22 11 27
15 24 26
48 24 35
42 14 41
29 37 1
47 5 23
19 35 30
12 43 14
14 39 47
37 36 10
17 5 2
26 35 0
18 33 42
48 37 24
35 18 48
2 13 35
43 35 14
34 1 5
19 41 31
3 11 17
15 12 7
44 21 13
11 39 33
9 24 27
30 14 35
2 28 5
22 34 20
32 25 42
37 32 49
41 3 27
34 19 50
27 18 11
29 2 16
35 39 46
43 11 45
37 41 44
20 32 31
40 16 1
20 17 19
30 29 1
47 40 26
9 36 28
21 34 0
6 41 34
46 22 35
7 17 5
44 2 15
10 44 41
49 42 38
13 5 43
4 7 39
13 27 27
37 46 38
18 48 19
35 20 36
33 28 15
49 39 18
8 44 47
26 8 29
32 10 45
29 39 24
21 39 50
39 28 49
17 38 2
7 18 32
24 8 42
13 48 42
46 7 34
25 8 38
1 50 38
33 22 22
26 5 5
17 32 6
1 42 16
6 39 45
15 28 4
38 3 31
38 45 4
24 39 4
25 1 41
18 39 20
32 40 20
30 45 46
19 4 50
37 9 0
43 18 46
2 17 31
21 17 49
5 4 25
43 32 17
49 7 38
27 38 17
37 16 32
43 40 29
8 41 13
37 23 42
11 37 15
1 31 19
16 4 4
5 42 13
18 41 3
26 48 18
33 12 26
35 46 19
7 47 1
49 7 39
43 36 43
34 27 48
15 27 7
4 50 30
30 20 1
42 46 47
2 50 43
46 34 8
7 10 28
34 37 25
10 47 33
7 39 41
32 31 1
27 39 2
48 31 49
44 18 38
10 32 16
42 5 48
20 36 21
29 36 48
26 11 39
13 49 36
27 29 15
43 14 15
48 36 35
19 18 35
31 37 27
32 49 3
34 48 31
5 24 25
48 5 37
43 20 22
8 8 27
9 50 3
12 36 34
39 27 14
32 22 32
4 24 11
17 23 22
7 36 38
15 6 42
21 29 48
30 18 46
41 17 2
16 13 14
46 18 43
20 38 15
25 39 37
38 50 8
27 35 4
1 27 7
47 40 12
4 19 4
40 46 34
47 20 12
6 48 28
40 28 14
6 3 8
43 21 25
43 16 28
20 38 49
33 1 48
44 36 39
35 20 0
46 22 3
15 15 15
21 11 22
37 40 11
27 18 8
39 41 30
3 30 30
4 27 50
38 18 15
21 46 14
47 16 42
47 34 50
45 15 27
43 43 26
23 49 33
40 42 6
45 41 11
19 29 6
14 42 27
49 38 0
48 33 6
44 42 26
48 28 19
29 42 15
42 16 22
38 28 47
11 8 12
25 27 47
28 5 7
49 4 25
31 8 46
31 21 19
4 7 33
31 25 8
50 45 32
16 11 23
19 35 34
38 29 10
49 17 44
31 13 19
11 33 30
47 50 4
8 47 17
5 6 24
18 14 11
50 1000
1 2 2
1 3 21
2 4 5
1 5 47
2 6 12
3 7 8
6 8 5
3 9 43
2 10 43
9 11 38
11 12 17
12 13 37
6 14 16
8 15 29
6 16 49
11 17 22
16 18 18
16 19 6
11 20 42
7 21 35
7 22 39
2 23 39
6 24 26
15 25 30
14 26 42
26 27 31
27 28 45
19 29 34
28 30 10
24 31 7
31 32 34
25 33 48
1 34 48
31 35 24
9 36 5
29 37 12
31 38 31
15 39 8
1 40 10
24 41 8
9 42 17
23 43 35
11 44 23
9 45 37
39 46 28
29 47 40
38 48 15
15 49 46
41 50 10
14 40 31
39 22 36
14 11 7
14 49 23
8 41 27
48 32 42
3 47 6
48 29 21
48 21 19
41 47 6
23 28 9
25 20 6
4 26 13
44 15 13
44 43 16
19 37 31
4 38 1
3 32 0
49 25 25
11 34 3
10 39 44
17 39 47
48 5 20
23 27 42
18 10 32
19 16 24
34 50 6
16 17 50
11 43 1
23 3 37
17 40 30
15 21 35
17 16 0
18 37 27
38 7 44
31 49 29
15 26 17
11 8 39
35 15 34
20 38 42
47 40 9
30 15 14
5 48 3
47 31 14
48 22 6
44 29 21
44 13 21
40 44 5
37 47 14
4 47 28
28 8 0
27 35 40
26 15 22
40 7 3
37 42 32
38 38 39
43 6 10
11 29 18
20 20 14
7 24 25
38 17 37
50 34 3
28 25 8
38 4 38
43 33 24
35 1 4
19 39 37
19 39 32
49 8 31
18 23 50
43 31 30
15 38 50
21 28 32
23 36 28
34 50 29
10 40 13
22 27 9
27 46 35
24 20 46
6 50 45
10 28 37
50 25 18
11 40 48
50 25 6
14 41 43
10 20 36
30 1 10
38 34 38
37 50 39
29 22 6
38 37 27
8 14 36
3 16 40
8 43 49
8 3 6
46 24 39
16 46 45
7 7 43
32 26 20
6 47 40
29 22 21
4 10 16
3 43 31
35 40 34
9 30 22
27 24 16
5 20 6
17 5 0
46 11 23
7 48 38
1 17 47
18 25 21
27 15 10
2 43 4
5 15 42
18 20 30
34 43 27
31 44 10
12 46 6
29 3 38
32 8 36
24 16 4
17 45 48
36 4 32
14 2 19
13 26 19
44 42 35
46 5 8
38 36 1
4 12 8
4 19 39
43 13 18
37 22 1
39 40 30
10 12 25
43 50 6
17 46 32
39 28 37
47 24 21
2 5 26
12 29 11
34 48 14
45 1 38
38 29 1
38 29 23
21 21 32
5 21 3
1 29 15
35 35 5
23 30 47
18 1 26
32 34 9
20 46 17
4 4 38
37 48 21
38 22 18
1 21 42
32 13 12
35 34 33
5 43 12
17 11 31
17 5 1
43 48 33
29 27 17
41 30 21
9 28 38
36 43 8
13 27 46
1 27 40
24 48 13
41 4 27
23 30 28
24 4 47
28 24 50
40 15 11
3 12 1
10 11 37
25 21 9
32 25 15
11 32 4
9 34 45
44 30 13
29 35 24
25 7 42
45 35 47
43 21 23
26 28 33
6 33 33
39 44 11
20 35 25
1 20 19
1 10 10
3 12 19
23 26 14
38 33 9
44 14 16
3 24 39
26 41 33
10 4 27
13 9 26
34 12 20
36 27 4
12 31 16
1 8 45
41 31 36
43 42 3
49 8 36
1 50 2
20 21 34
17 38 10
45 22 31
5 18 44
3 29 21
20 25 30
30 30 15
1 14 20
29 16 10
22 42 39
25 47 11
6 48 22
36 6 42
34 36 6
34 32 41
42 33 33
16 3 23
34 26 26
12 10 39
42 28 3
25 17 48
35 12 35
18 5 8
27 3 17
49 27 46
45 12 32
20 23 0
5 8 1
9 40 0
41 10 12
39 31 12
42 41 4
4 6 47
4 3 19
12 4 41
20 36 35
42 40 21
19 49 18
16 46 13
46 15 22
19 50 42
4 16 27
13 43 23
39 27 12
29 31 4
36 9 4
39 34 49
29 15 29
5 13 46
1 9 27
18 8 34
5 7 48
49 44 26
18 22 16
1 37 6
42 11 31
38 17 11
28 46 8
24 24 32
45 8 3
21 18 16
14 38 40
5 27 43
1 24 5
5 15 28
10 8 10
7 21 31
20 38 40
34 12 41
3 13 26
18 34 14
40 32 47
29 13 48
